Return,成交股數,開盤價,最高價,最低價,收盤價,TR,季股價動量,半年股價動量,一年股價動量,季動盪比率,半年動盪比率,一年動盪比率,投信多方交易契約金額,投信空方交易契約金額,投信多空交易契約金額淨額,自營商多方交易契約金額,自營商空方交易契約金額,自營商多空交易契約金額淨額,外資多方交易契約金額,外資空方交易契約金額,外資多空交易契約金額淨額,外資買賣超市值(百萬),投信買賣超市值(百萬),自營買賣超市值(百萬),原始數值,領先指標變動率(上一季),領先指標變動率(去年同季),市值(百萬元),本益比-TSE,股價淨值比-TSE,每股盈餘,加權平均股數,流動比率,稅後淨利成長率,負債比率,稅後淨利率,速動比率,平均收帳天數,存貨週轉率（次）,存貨及應收帳款/淨值,總負債/總淨值,淨值/資產,利息保障倍數,營業收入淨額,營業毛利率,稅前息前折舊前淨利,稅前淨利率,營業利益,每人營收,每人營業利益,每人配備率,當季季底PSR,貝里比率,流動負債,    普通股股本,股東權益總額,本期產生現金流量,每股營業額,每股淨值(B),ROE(A)－稅後,流動資產,每股現金流量,資產總額,期末現金及約當現金,  應收帳款及票據,  存貨,BVPS(每股帳面值),ROE(權益報酬率),CA(流動資產),加權平均股本,CR(流動比率),EPS(每股盈餘),負債比率%,應收帳款收現天數,存貨週轉率,營業收入對資產比率,折舊前淨利對營業收入淨額比率,銷貨對現金比率,銷貨對應收帳款比率,銷貨對存貨比率,銷貨對淨營運資本比率,淨營運資本對總資產比率,營業利益對總資產比率,每股盈餘變動率,淨值成長率,現金股利率,股利殖利率-TSE
FALSE,0.888009461,-0.469260116,-0.485738814,-0.483790597,-0.481448275,-0.428591059,-0.249262677,-0.283154297,-0.111176181,-0.607647443,-0.566452432,0.323727806,-0.835457154,-0.845713303,-0.153179395,-0.064116959,-0.014695807,-1.240842637,-1.113895525,-1.111763902,-0.242881396,-0.554379657,0.258582788,-0.197796845,-1.491039029,0.59773979,4.413834057,0.38334672,-0.045456656,1.266396967,-0.332237646,2.38532283,2.639556139,-0.271106722,-1.295254297,2.066336079,3.213991277,-0.837218558,0.33681781,-0.881969399,-0.570134235,1.295254297,-0.034388779,-0.329061698,1.567184786,0.491645551,1.899654541,0.525913356,0.763014169,1.413772258,0.602792955,2.495341651,0.761596571,-0.53521193,2.398581274,0.041676637,-1.881901777,-0.710657527,-0.841342471,1.561315443,-0.345449511,-0.230380617,-0.532828462,-0.259758145,-0.361065749,-0.522435983,-0.841342471,1.561315443,-0.345449511,2.38532283,2.639556139,-0.332237646,-1.295254297,-0.837218558,0.33681781,-0.09970263,1.872656189,-0.272280311,0.374545745,1.06396011,-0.352878144,0.990799426,2.308459293,0.045937233,-0.707896666,0.897075291,0.858078743
FALSE,0.93273693,-0.491261402,-0.486812805,-0.479043792,-0.486649225,-0.447315696,-0.189912021,-0.301660506,-0.16133359,-0.36778661,-0.634406095,0.054233367,-0.8910732,-0.875252845,-0.401361804,0.143257364,0.139922644,0.037630976,-1.023021177,-1.026088141,0.326585445,-0.182865136,-0.29483783,0.221761741,-1.404267089,0.283579634,2.21207068,0.383425793,-0.044109507,1.072106361,-0.289725398,2.388730022,1.273050932,0.334913731,-1.211386225,2.220540719,1.749406401,-0.825790196,0.217070446,-0.899518231,-0.564908205,1.211386225,-0.022023191,-0.322289769,1.629029499,0.55489876,2.051976229,0.592363608,0.610365597,1.353485946,0.722214429,2.140919369,0.816983907,-0.467888842,2.398895369,0.127936105,0.184982436,-0.706795433,-0.809502009,1.570423694,-0.315995539,-0.09079782,-0.512730914,-0.199644405,-0.363800335,-0.5086309,-0.809502009,1.570423694,-0.315995539,2.388730022,1.273050932,-0.289725398,-1.211386225,-0.825790196,0.217070446,-0.174646953,1.957883142,-0.279667882,0.484144373,0.881844123,-0.338194026,0.57263584,2.154388013,-0.009764226,-0.400500979,1.487507832,1.44443701
TRUE,1.014541117,-0.496932844,-0.479129636,-0.464170471,-0.460196116,-0.462811947,-0.034721049,-0.145953096,-0.266508621,0.314317633,-0.047092293,-0.65677324,-0.877403896,-0.92697354,0.184188798,-0.442041982,-0.480336521,1.124628663,-0.987535068,-0.981259503,-0.695088178,-0.016377152,-1.200415756,-0.489156269,-1.25996158,0.958253271,1.038046943,0.336914613,-0.139457711,0.756384125,-0.268469274,2.39912036,1.408413968,7.949610259,-1.249682148,2.319114572,1.813165909,-0.699405957,0.042892462,-0.884331742,-0.56733212,1.249682148,-0.011249504,-0.322000387,1.586862649,0.570296863,2.042401723,0.611835899,0.451941133,1.251752793,0.781582,1.480960636,1.005971554,-0.470563485,2.399058632,0.216415195,-0.365582666,-0.706795433,-0.776634436,1.456570561,-0.304995272,-0.237478047,-0.500499781,-0.247750599,-0.339720991,-0.494485928,-0.776634436,1.456570561,-0.304995272,2.39912036,1.408413968,-0.268469274,-1.249682148,-0.699405957,0.042892462,-0.229151915,1.993861686,-0.271484759,0.159956821,0.664795077,-0.345827893,0.528701031,2.020440328,-0.021284422,0.077945534,0.97154426,0.907863879
TRUE,1.046321161,-0.466717746,-0.412707392,-0.441807747,-0.405586137,-0.271691518,0.103324178,0.066868303,-0.148113808,0.831517554,0.787766995,-0.003105876,-0.984591513,-0.999744891,-0.153250269,-0.299623937,-0.368789647,1.865762537,-0.934922255,-0.927871643,-0.779412704,0.349772927,0.863429512,0.894864512,-1.106224338,1.026239,0.651950579,0.322994147,-0.213251533,0.553998077,-0.130304468,2.399232612,-0.568760435,-0.022058256,-0.792811782,2.500646617,-0.262785702,-0.63352481,0.075550834,-0.785450826,-0.534239664,0.792811782,0.001880533,-0.281918948,1.695090897,0.766909556,2.226928567,0.866009322,0.635119419,1.507969622,0.832370443,1.218199289,1.081155535,-0.224734368,2.39925038,0.122147289,0.14969502,-0.685768475,-0.81181301,2.04860685,-0.265253189,-0.211454136,-0.479965503,-0.194573009,-0.294231027,-0.477757569,-0.81181301,2.04860685,-0.265253189,2.399232612,-0.568760435,-0.130304468,-0.792811782,-0.63352481,0.075550834,-0.181460073,2.022178133,-0.264878124,0.007438132,0.773027167,-0.183808435,-0.597301138,2.334871512,0.032482223,0.402694203,0.780052625,0.708723336
FALSE,1.3458775,-0.405309714,-0.394284308,-0.401934587,-0.408007269,-0.321731495,-0.176283353,-0.035873062,-0.115841986,-0.300325751,0.33636052,0.154577041,-0.967656171,-0.969414881,-0.267423662,1.025900379,1.096430383,-2.141573245,-0.919930096,-0.935290037,1.67221664,-1.188916926,0.95291301,0.827889618,-1.054349809,-0.182043954,0.429795599,0.344805753,-0.231961934,0.788765893,0.002546307,2.399339029,0.061988792,-0.067095718,-1.100711006,2.835407323,0.363216738,-0.591844902,0.021120214,-0.818186146,-0.55761927,1.100711006,-0.002924573,-0.259065399,1.732338281,0.915653652,2.56203628,0.970099624,0.464318044,1.345950157,0.710718396,1.132649083,0.954370462,-0.383883045,2.399607879,0.239294114,-0.978478849,-0.673753071,-0.768417542,2.604210136,-0.34091442,-0.07423715,-0.484998937,-0.363151031,-0.297965241,-0.462952913,-0.768417542,2.604210136,-0.34091442,2.399339029,0.061988792,0.002546307,-1.100711006,-0.591844902,0.021120214,-0.08607639,2.112402106,-0.214743703,0.218067306,0.758653437,-0.207331992,-0.329731706,2.653704733,0.019781902,0.593577009,0.311961962,0.244062068
TRUE,1.115766442,-0.410590022,-0.394862611,-0.385478998,-0.379491714,-0.374354181,-0.024609456,-0.128723178,-0.042744367,0.246856774,-0.04223846,0.231985018,-0.925658324,-0.966347122,0.091090436,1.121290394,1.119388607,-0.323461439,-0.870562851,-0.861112912,-1.041315157,1.151001887,0.561388669,1.681362183,-1.106224338,-1.360998764,-0.035616764,0.484598077,-0.227920487,0.926388406,-0.124990437,2.399483837,-0.097352164,-0.177741908,-1.080414167,2.3591297,0.156722878,-0.683271798,-0.163943893,-0.863745612,-0.556209617,1.080414167,-0.034527388,-0.26566789,1.716174322,0.803798506,2.09810794,0.907888407,0.325696638,1.185814639,0.845582301,1.364856785,0.858470319,-0.344939115,2.40002805,0.339863128,0.21221295,-0.677186044,-0.731184745,1.793575833,-0.312748675,-0.015091897,-0.465442756,-0.297684819,-0.322101865,-0.44910914,-0.731184745,1.793575833,-0.312748675,2.399483837,-0.097352164,-0.124990437,-1.080414167,-0.683271798,-0.163943893,-0.188273194,1.940115959,-0.236430338,0.43824312,0.547383126,-0.216145871,-0.453338652,2.22796491,-0.073801201,0.596882339,0.311961962,0.244062068
FALSE,1.17873801,-0.380081574,-0.401058715,-0.407736237,-0.393390805,-0.330448136,-0.232556566,-0.169564465,-0.13022822,-0.480221376,-0.173291953,-0.054711194,-0.808686457,-0.824217599,-0.098434056,1.084197737,1.12697382,-1.452136617,-0.676532956,-0.692895499,1.784011772,-0.102982741,0.813792817,2.979259076,-1.225064169,-2.130253969,-0.880974991,0.478563358,-0.228818586,0.910197522,-0.215328964,2.400508697,-0.279489862,-0.240817043,-1.12407152,2.11220708,-0.089910491,-0.585794592,-0.414324744,-0.846871736,-0.559200831,1.12407152,-0.039622313,-0.280616396,1.66416854,0.778817057,2.039790494,0.813671217,0.168922429,1.021911226,1.04324543,1.27319585,0.864257863,-0.333591517,2.400660235,0.429489971,-0.514117603,-0.684910232,-0.698060393,1.256189048,-0.333540724,-0.142845643,-0.453567849,-0.374987272,-0.301013148,-0.422246889,-0.698060393,1.256189048,-0.333540724,2.400508697,-0.279489862,-0.215328964,-1.12407152,-0.585794592,-0.414324744,-0.276843757,2.035336952,-0.221960053,0.083128547,0.189889832,-0.191195224,-0.711881645,1.88020402,-0.066030728,0.521686082,0.4608999,0.371290748
TRUE,0.634946149,-0.395238014,-0.384122696,-0.363854665,-0.356715138,-0.398567073,0.015397282,-0.140528862,-0.169109932,0.36678719,-0.095630624,0.068568177,-0.951890039,-0.956080485,-0.241183958,-1.041969555,-1.012822035,-0.398656656,-0.846645767,-0.840466637,-0.683311802,1.885005629,0.696009402,2.173366804,-1.21940513,-0.708163974,-1.334517657,0.503404904,-0.236602113,0.61066617,-0.220642995,2.400645365,-1.210612738,-0.311379515,-0.774429738,1.919939269,-1.031232679,-0.618062909,-0.305463505,-0.818861101,-0.532692485,0.774429738,-0.047821236,-0.26451913,1.45263151,0.804420521,1.785630878,0.761695472,0.265462337,0.935249651,1.221862892,1.297638766,0.747425202,-0.115276082,2.400674032,0.312348057,0.338362335,-0.676756922,-0.741455861,1.247080798,-0.348646339,-0.08370039,-0.440744159,-0.284724941,-0.304513207,-0.424344489,-0.741455861,1.247080798,-0.348646339,2.400645365,-1.210612738,-0.220642995,-0.774429738,-0.618062909,-0.305463505,-0.270030637,1.930344009,-0.239107236,0.244898033,0.311014414,0.714819563,-1.789988425,1.634947696,-0.033711618,0.467148138,0.498134385,0.382354112
TRUE,0.694386601,-0.360720443,-0.32761422,-0.315437258,-0.299145998,-0.325928396,0.117832116,0.113771969,-0.039050605,0.644126278,0.695544167,0.077169064,-1.017538825,-1.032616926,-0.163558276,-1.215804823,-1.211786216,0.300760996,-0.877598386,-0.880613922,0.322226338,1.929458847,-2.855588165,-3.015984885,-1.070383754,0.959076539,-1.038374939,0.469289038,-0.237200846,0.756384125,-0.337551677,2.400700493,-0.458202143,-0.403836772,-1.131347745,1.527595817,-0.268147297,-0.560248842,-6.52E-04,-0.880619489,-0.559682176,1.131347745,-0.104697062,-0.277146123,1.172924738,0.662356382,1.338240321,0.510440078,0.214304437,0.635702035,1.236447411,1.248752934,0.468162688,-0.386314762,2.400807103,0.399509095,-0.891576729,-0.683193746,-0.707047621,0.837209521,-0.434977167,-0.154674693,-0.459462041,-0.436221347,-0.308511615,-0.470668384,-0.707047621,0.837209521,-0.434977167,2.400700493,-0.458202143,-0.337551677,-1.131347745,-0.560248842,-6.52E-04,-0.242778156,1.741734264,-0.198325255,0.187800243,0.717216916,-0.043195329,-1.115031869,1.301650641,-0.082006356,0.197763745,0.439623052,0.321505613
FALSE,0.710276623,-0.293152051,-0.308447603,-0.30436138,-0.321922574,-0.284927899,-0.27608038,-0.097773139,-0.150252302,-0.570169188,0.016007537,0.025563746,-0.977363833,-1.001640752,-0.069995065,-1.040174937,-1.061041055,0.877994485,-0.807742598,-0.805736724,-0.226458907,-1.007413796,0.536965807,2.745490609,-1.03737269,-0.39953766,-0.780388126,0.559378502,-0.201875609,0.804956777,-0.310981522,2.400749786,-0.330871119,-0.355963198,-1.12368856,1.6798485,-0.112081411,-0.668482153,0.140867578,-0.928878776,-0.55918364,1.12368856,-0.112270145,-0.28270689,1.362675563,0.692158876,1.504488563,0.563831188,0.168097302,0.70164019,1.315890144,1.499292823,0.460373844,-0.362197649,2.400972025,0.481773677,0.489812882,-0.686197597,-0.676491049,0.800776519,-0.381371842,0.006200394,-0.444379544,-0.31618966,-0.333264641,-0.477434341,-0.676491049,0.800776519,-0.381371842,2.400749786,-0.330871119,-0.310981522,-1.12368856,-0.668482153,0.140867578,-0.310909358,1.862051402,-0.239547817,0.432201086,0.762194422,-0.143283335,-0.937818931,1.271465248,-0.017772812,0.039934239,0.109831903,-0.015926975
